#Compound                    Mass                        parameter_A              parameter_B
C134CO                       270.278400000000            13.356489852669          6816.463550995712
BCCOOH                       254.365100000000            12.335575423393          6397.148292534742
DNMXYOLOOH                   294.172400000000            12.045639192651          6418.416770079857
DEMPHOLOOH                   246.257000000000            13.001444737298          7078.604960850639
NEBNZOLOOH                   249.174800000000            13.047261727357          6765.447128782801
NC524OOH                     213.142700000000            15.266248624725          8456.811578286577
C925OOH                      220.219700000000            14.349884586915          7698.009880121673
NDNPBZLOOH                   353.196500000000            13.402811500034          7016.359351786190
NDNPETLOOH                   353.196500000000            13.402811500034          7016.359351786190
OTNCATECO                    262.193500000000            11.936899920652          6278.649171785622
HNC524CO                     195.127500000000            12.107551062825          6308.988500052524
C152OOH                      302.363300000000            13.949317787402          7525.165686545695
C151OH                       286.363900000000            14.399891994980          8022.741954238712
C151O2                       301.355400000000            13.553936045973          7263.492050109241
C1310O                       257.302800000000            12.989354024947          7016.655485681028
PTNCATECO                    262.193500000000            11.936899920652          6278.649171785622
C1213OOH                     276.283000000000            15.820422184671          8771.661741398761
DETLMUOOH                    246.257000000000            11.685506456409          6266.004219675244
NPEBQOOH                     231.159600000000            12.596375035171          6646.526473181220
INAHPCO3H                    227.126300000000            12.937218016498          6883.775504351123
TM124QOOH                    200.188600000000            11.808066682481          6457.859863246942
IPNNCATOOH                   324.198400000000            15.423489550415          8408.916585562352
C1312OOH                     258.310800000000            13.197935724229          7201.291795120540
INANCO3H                     256.124400000000            13.094264550653          6639.898528961440
EBENZOLOOH                   204.177300000000            12.045639192651          6418.416770079857
INB1NBCO3H                   256.124400000000            13.729414651428          6992.129505465149
EMPONO2OOH                   263.201400000000            11.803805930861          6295.704148972884
TM124OLOOH                   218.203900000000            12.401188978948          6669.328996984133
MXYQOOH                      186.162000000000            11.452516914378          6206.947641551800
C1213OH                      260.283600000000            15.237789246682          8323.063638675916
C1213O2                      275.275100000000            13.692938442857          7119.034279973519
C133CO                       256.294900000000            12.777845800108          6631.572908195720
C151OOH                      302.363300000000            15.686795624812          8916.119518587315
NPETLQOOH                    245.186100000000            12.841081024939          6804.890215215289
DNOXYOLOOH                   294.172400000000            12.045639192651          6418.416770079857
PNNCATECO2                   323.190400000000            12.936556617562          6625.679522861957
NDNOETLOOH                   353.196500000000            13.402811500034          7016.359351786190
NMXYOLOOH                    249.174800000000            12.936417931878          6672.898644212696
INB1NBPAN                    301.122000000000            13.393800912055          6719.988818648488
C1213O                       259.275700000000            13.692938442857          7119.034279973519
INAOOH                       197.143300000000            12.769139636675          6690.629491843835
C1311OOH                     242.311400000000            12.787891199754          6696.096015885986
C145OOH                      304.336200000000            15.765674865170          9076.685169320683
T124NCTOOH                   279.200800000000            13.773245295662          7688.261372472524
C1310O2                      273.302200000000            12.989354024947          7016.655485681028
C812OOH                      190.193800000000            12.843565897099          6909.526053132702
C734OH                       176.167200000000            13.035670980050          7108.062997031776
INB1NACO2H                   240.125000000000            14.430747830250          7490.092611446824
PXYQOOH                      186.162000000000            11.452516914378          6206.947641551800
C118OH                       230.257600000000            12.806168675329          6604.160260807898
IPBZOLOOH                    218.203900000000            12.290345185937          6576.780513120647
C1213CO                      258.267700000000            14.539756278700          7848.651833908932
NTM124LOOH                   263.201400000000            13.402811500034          7016.359351786190
C133OH                       258.310800000000            13.517268206805          7105.984702841187
HIEB2OOH                     166.129300000000            11.910181016177          6552.865478612652
NIPBZOLOOH                   263.201400000000            13.291967700778          6923.810866136146
BCLKCOOH                     270.321500000000            11.637194815691          6177.628329668468
NPBNZOLOOH                   263.201400000000            13.402811500034          7016.359351786190
T124NNCTO                    307.191000000000            12.825712834677          6533.131041896940
T123NNCOOH                   324.198400000000            15.312645743885          8316.368097845290
NPETOLOOH                    263.201400000000            13.402811500034          7016.359351786190
TM135OLOOH                   218.203900000000            12.290345185937          6576.780513120647
OTNCATCOOH                   279.200800000000            14.459804852070          8154.434725092640
INCOOH                       197.143300000000            12.171756597889          6317.004646497197
C1213NO3                     305.281200000000            13.692938442857          7119.034279973519
C1212O                       243.276300000000            12.015749335019          6339.204224789708
OTNNCATOOH                   324.198400000000            15.534333326151          8501.465064492384
